Date;Hour;Net Load
2023-09-24;21;5594.0
2023-09-24;22;5380.0
2023-09-24;23;5089.0
2023-09-24;24;4835.0
2023-09-25;1;4508.0
2023-09-25;2;4212.0
2023-09-25;3;4066.0
2023-09-25;4;3967.0
2023-09-25;5;3912.0
2023-09-25;6;4022.0
2023-09-25;7;4394.0
2023-09-25;8;4793.0
2023-09-25;9;4882.0
2023-09-25;10;4591.0
2023-09-25;11;4333.0
2023-09-25;12;4141.0
2023-09-25;13;4077.0
2023-09-25;14;4068.0
2023-09-25;15;3853.0
2023-09-25;16;3959.0
2023-09-25;17;4524.0
2023-09-25;18;4957.0
2023-09-25;19;5498.0
2023-09-25;20;5919.0
2023-09-25;21;5987.0
2023-09-25;22;5506.0
2023-09-25;23;5033.0
2023-09-25;24;4736.0
2023-09-26;1;4395.0
2023-09-26;2;4133.0
2023-09-26;3;3964.0
2023-09-26;4;3838.0
2023-09-26;5;3828.0
2023-09-26;6;3935.0
2023-09-26;7;4287.0
2023-09-26;8;4662.0
2023-09-26;9;4681.0
2023-09-26;10;4568.0
2023-09-26;11;4320.0
2023-09-26;12;4113.0
2023-09-26;13;4019.0
2023-09-26;14;3972.0
2023-09-26;15;3965.0
2023-09-26;16;4021.0
2023-09-26;17;4352.0
2023-09-26;18;4895.0
2023-09-26;19;5336.0
2023-09-26;20;5715.0
2023-09-26;21;5806.0
2023-09-26;22;5350.0
2023-09-26;23;4835.0
2023-09-26;24;4577.0
2023-09-27;1;4281.0
2023-09-27;2;4066.0
2023-09-27;3;3916.0
2023-09-27;4;3862.0
2023-09-27;5;3851.0
2023-09-27;6;3865.0
2023-09-27;7;4199.0
2023-09-27;8;4542.0
2023-09-27;9;4779.0
2023-09-27;10;4808.0
2023-09-27;11;4631.0
2023-09-27;12;4423.0
2023-09-27;13;4122.0
2023-09-27;14;4039.0
2023-09-27;15;3900.0
2023-09-27;16;3807.0
2023-09-27;17;4195.0
2023-09-27;18;4612.0
2023-09-27;19;5034.0
2023-09-27;20;5452.0
2023-09-27;21;5563.0
2023-09-27;22;5167.0
2023-09-27;23;4751.0
2023-09-27;24;4450.0
2023-09-28;1;4097.0
2023-09-28;2;3863.0
2023-09-28;3;3730.0
2023-09-28;4;3637.0
2023-09-28;5;3599.0
2023-09-28;6;3759.0
2023-09-28;7;4111.0
2023-09-28;8;4489.0
2023-09-28;9;4525.0
2023-09-28;10;4121.0
2023-09-28;11;3719.0
2023-09-28;12;3542.0
2023-09-28;13;3504.0
2023-09-28;14;3503.0
2023-09-28;15;3374.0
2023-09-28;16;3445.0
2023-09-28;17;3722.0
2023-09-28;18;4342.0
2023-09-28;19;4985.0
2023-09-28;20;5509.0
2023-09-28;21;5632.0
2023-09-28;22;5254.0
2023-09-28;23;4801.0
2023-09-28;24;4550.0
2023-09-29;1;4220.0
2023-09-29;2;3998.0
2023-09-29;3;3868.0
2023-09-29;4;3804.0
2023-09-29;5;3795.0
2023-09-29;6;3836.0
2023-09-29;7;4210.0
2023-09-29;8;4620.0
2023-09-29;9;4637.0
2023-09-29;10;4255.0
2023-09-29;11;3633.0
2023-09-29;12;3074.0
2023-09-29;13;2916.0
2023-09-29;14;2829.0
2023-09-29;15;3004.0
2023-09-29;16;3173.0
2023-09-29;17;3573.0
2023-09-29;18;4324.0
2023-09-29;19;5037.0
2023-09-29;20;5487.0
2023-09-29;21;5531.0
2023-09-29;22;5152.0
2023-09-29;23;4717.0
2023-09-29;24;4506.0
2023-10-01;1;3849.0
2023-10-01;2;3621.0
2023-10-01;3;3467.0
2023-10-01;4;3355.0
2023-10-01;5;3291.0
2023-10-01;6;3308.0
2023-10-01;7;3436.0
2023-10-01;8;3503.0
2023-10-01;9;3273.0
2023-10-01;10;2709.0
2023-10-01;11;2108.0
